x0000,y0000,x0001,y0001
3.361137361,-118.4657354,3.361137361,-76.78124035,
3.36554648,-120.3985459,3.36554648,-79.26089003,
3.369911285,-134.6264951,3.369911285,-90.39970779,
3.374232659,-140.1802526,3.374232659,-94.66331306,
3.378511457,-135.9332938,3.378511457,-89.8371644,
3.38274851,-142.2595013,3.38274851,-92.14755744,
3.386944624,-144.3986487,3.386944624,-108.3965808,
3.391100584,-130.8707368,3.391100584,-88.22545402,
3.39521715,-120.6478687,3.39521715,-77.95561389,
3.399295063,-119.2613876,3.399295063,-76.67984733,
3.403335041,-127.3687579,3.403335041,-84.25516418,
3.407337783,-148.2514924,3.407337783,-102.0944509,
3.41130397,-137.1921422,3.41130397,-94.13899853,
3.415234264,-134.8669858,3.415234264,-89.2902438,
3.419129308,-137.1381654,3.419129308,-89.02070581,
3.422989729,-142.0387967,3.422989729,-90.65754221,
3.426816136,-124.9219036,3.426816136,-84.07618435,
3.430609125,-118.9977699,3.430609125,-78.20240541,
3.434369274,-121.9622369,3.434369274,-81.17900544,
3.438097147,-134.0197326,3.438097147,-94.2439206,
3.441793292,-140.7432674,3.441793292,-105.1432624,
3.445458246,-128.5836263,3.445458246,-91.20650318,
3.449092531,-128.5987791,3.449092531,-90.0018343,
3.452696655,-140.8439406,3.452696655,-98.11808432,
3.456271116,-133.9754284,3.456271116,-92.44034905,
3.459816397,-120.569784,3.459816397,-80.60381396,
3.46333297,-118.4348297,3.46333297,-78.63722265,
3.466821298,-125.2731412,3.466821298,-86.05041338,
3.47028183,-128.4736678,3.47028183,-98.110954,
3.473715006,-114.7670262,3.473715006,-84.38112955,
3.477121255,-110.4338138,3.477121255,-79.69217929,
3.480500995,-115.1118301,3.480500995,-84.33923213,
3.483854637,-137.0710818,3.483854637,-107.5201576,
3.487182581,-119.1593372,3.487182581,-80.6556925,
3.490485216,-112.257941,3.490485216,-73.3838373,
3.493762926,-114.3543666,3.493762926,-75.418589,
3.497016083,-126.6570465,3.497016083,-87.81136786,
3.500245054,-140.6891162,3.500245054,-105.2326408,
3.503450193,-132.9999871,3.503450193,-97.12463921,
3.506631852,-131.9391933,3.506631852,-94.09537925,
3.509790371,-138.9445295,3.509790371,-101.0069297,
3.512926085,-128.7854346,3.512926085,-89.10082415,
3.516039321,-115.9408065,3.516039321,-76.38119977,
3.519130398,-113.2338487,3.519130398,-73.82349354,
3.522199629,-119.737939,3.522199629,-80.30995,
3.525247323,-141.6295462,3.525247323,-102.5220407,
3.528273777,-133.3481178,3.528273777,-91.50238709,
3.531279287,-128.0924805,3.531279287,-86.50710637,
3.534264141,-133.3362264,3.534264141,-90.68621869,
3.53722862,-151.4801127,3.53722862,-100.9753227,
3.540173,-126.9670085,3.540173,-86.40963118,
3.543097553,-118.5149667,3.543097553,-78.61917093,
3.546002544,-120.198386,3.546002544,-80.23069879,
3.548888232,-133.4480271,3.548888232,-92.66094357,
3.551754873,-136.3481281,3.551754873,-98.2469077,
3.554602716,-128.8392328,3.554602716,-88.47399009,
3.557432006,-128.7227171,3.557432006,-87.25249036,
3.560242983,-138.7827437,3.560242983,-94.44277612,
3.563035883,-141.9560731,3.563035883,-95.89042228,
3.565810937,-124.1539964,3.565810937,-84.91576133,
3.568568372,-118.5454237,3.568568372,-81.43707613,
3.571308409,-113.7430972,3.571308409,-81.63751255,
3.574031268,-111.1220108,3.574031268,-81.81763435,
3.576737161,-115.7996587,3.576737161,-88.49813737,
3.5794263,-131.7133608,3.5794263,-102.4763899,
3.582098889,-151.8382367,3.582098889,-100.1227021,
3.584755133,-143.415649,3.584755133,-106.169018,
3.587395229,-128.013635,3.587395229,-89.4778349,
3.590019373,-120.1129268,3.590019373,-81.02112143,
3.592627756,-121.592062,3.592627756,-81.9940365,
3.595220567,-136.4149117,3.595220567,-93.41385791,
3.59779799,-144.6889702,3.59779799,-109.3337409,
3.600360206,-146.1432879,3.600360206,-102.5428078,
3.602907395,-141.1799044,3.602907395,-102.2893431,
3.605439732,-149.6548525,3.605439732,-109.6868823,
3.607957388,-150.5458026,3.607957388,-112.4548434,
3.610460533,-135.6259221,3.610460533,-92.35046784,
3.612949334,-130.1620191,3.612949334,-87.78746255,
3.615423953,-133.5110195,3.615423953,-92.09108017,
3.617884551,-140.1841496,3.617884551,-103.1131738,
3.620331287,-131.9022213,3.620331287,-96.58678405,
3.622764316,-126.9555892,3.622764316,-91.18418351,
3.62518379,-131.0272226,3.62518379,-93.01717755,
3.62758986,-165.8128107,3.62758986,-99.00498834,
3.629982673,-138.2390823,3.629982673,-107.12012,
3.632362375,-131.6079779,3.632362375,-115.4176151,
3.634729108,-132.1645818,3.634729108,-110.1151048,
3.637083013,-143.7944845,3.637083013,-110.506087,
3.639424229,-145.5886105,3.639424229,-105.0656517,
3.641752892,-136.623823,3.641752892,-101.6044211,
3.644069134,-136.5127016,3.644069134,-100.3406047,
3.646373089,-145.9685673,3.646373089,-105.5075644,
3.648664886,-130.9164767,3.648664886,-99.40842428,
3.650944652,-115.975148,3.650944652,-83.90549805,
3.653212514,-111.6218879,3.653212514,-79.49712403,
3.655468594,-116.2144827,3.655468594,-84.08441715,
3.657713015,-132.8723536,3.657713015,-102.9172374,
3.659945896,-134.1113944,3.659945896,-97.65067986,
3.662167356,-127.4997928,3.662167356,-92.78872258,
3.664377511,-129.6276968,3.664377511,-96.53222312,
